"Step","treasured-dust-37 - reward/success","treasured-dust-37 - reward/success__MIN","treasured-dust-37 - reward/success__MAX"
"2000","0","0","0"
"4000","0","0","0"
"6000","0","0","0"
"8000","0","0","0"
"10000","0","0","0"
"12000","0","0","0"
"14000","0","0","0"
"16000","0","0","0"
"18000","0","0","0"
"20000","0","0","0"
"22000","0","0","0"
"24000","0.0025","0.0025","0.0025"
"26000","0","0","0"
"28000","0","0","0"
"30000","0","0","0"
"32000","0","0","0"
"34000","0","0","0"
"36000","0","0","0"
"38000","0","0","0"
"40000","0","0","0"
"42000","0","0","0"
"44000","0","0","0"
"46000","0","0","0"
"48000","0","0","0"
"50000","0","0","0"
"52000","0","0","0"
"54000","0","0","0"
"56000","0","0","0"
"58000","0","0","0"
"60000","0","0","0"
"62000","0","0","0"
"64000","0","0","0"
"66000","0","0","0"
"68000","0","0","0"
"70000","0","0","0"
"72000","0","0","0"
"74000","0","0","0"
"76000","0","0","0"
"78000","0","0","0"
"80000","0","0","0"
"82000","0","0","0"
"84000","0","0","0"
"86000","0","0","0"
"88000","0","0","0"
"90000","0","0","0"
"92000","0","0","0"
"94000","0","0","0"
"96000","0","0","0"
"98000","0","0","0"
"100000","0","0","0"
"102000","0","0","0"
"104000","0","0","0"
"106000","0","0","0"
"108000","0","0","0"
"110000","0","0","0"
"112000","0","0","0"
"114000","0","0","0"
"116000","0","0","0"
"118000","0","0","0"
"120000","0.0025","0.0025","0.0025"
"122000","0","0","0"
"124000","0","0","0"
"126000","0","0","0"
"128000","0","0","0"
"130000","0","0","0"
"132000","0","0","0"
"134000","0","0","0"
"136000","0","0","0"
"138000","0","0","0"
"140000","0","0","0"
"142000","0","0","0"
"144000","0","0","0"
"146000","0","0","0"
"148000","0","0","0"
"150000","0","0","0"
"152000","0","0","0"
"154000","0","0","0"
"156000","0","0","0"
"158000","0","0","0"
"160000","0","0","0"
"162000","0.0025","0.0025","0.0025"
"164000","0","0","0"
"166000","0","0","0"
"168000","0","0","0"
"170000","0","0","0"
"172000","0","0","0"
"174000","0","0","0"
"176000","0","0","0"
"178000","0","0","0"
"180000","0","0","0"
"182000","0","0","0"
"184000","0","0","0"
"186000","0","0","0"
"188000","0","0","0"
"190000","0","0","0"
"192000","0","0","0"
"194000","0","0","0"
"196000","0.0025","0.0025","0.0025"
"198000","0","0","0"
"200000","0","0","0"
"202000","0","0","0"
"204000","0","0","0"
"206000","0","0","0"
"208000","0","0","0"
"210000","0","0","0"
"212000","0","0","0"
"214000","0","0","0"
"216000","0","0","0"
"218000","0","0","0"
"220000","0","0","0"
"222000","0","0","0"
"224000","0","0","0"
"226000","0","0","0"
"228000","0","0","0"
"230000","0.0025","0.0025","0.0025"
"232000","0","0","0"
"234000","0","0","0"
"236000","0","0","0"
"238000","0","0","0"
"240000","0","0","0"
"242000","0","0","0"
"244000","0","0","0"
"246000","0","0","0"
"248000","0","0","0"
"250000","0","0","0"
"252000","0","0","0"
"254000","0","0","0"
"256000","0","0","0"
"258000","0","0","0"
"260000","0","0","0"
"262000","0","0","0"
"264000","0","0","0"
"266000","0","0","0"
"268000","0","0","0"
"270000","0","0","0"
"272000","0","0","0"
"274000","0","0","0"
"276000","0","0","0"
"278000","0","0","0"
"280000","0","0","0"
"282000","0","0","0"
"284000","0","0","0"
"286000","0","0","0"
"288000","0","0","0"
"290000","0","0","0"
"292000","0","0","0"
"294000","0","0","0"
"296000","0","0","0"
"298000","0","0","0"
"300000","0","0","0"
"302000","0.0025","0.0025","0.0025"
"304000","0","0","0"
"306000","0","0","0"
"308000","0","0","0"
"310000","0","0","0"
"312000","0","0","0"
"314000","0","0","0"
"316000","0","0","0"
"318000","0","0","0"
"320000","0","0","0"
"322000","0","0","0"
"324000","0","0","0"
"326000","0","0","0"
"328000","0","0","0"
"330000","0","0","0"
"332000","0","0","0"
"334000","0","0","0"
"336000","0","0","0"
"338000","0","0","0"
"340000","0","0","0"
"342000","0","0","0"
"344000","0","0","0"
"346000","0.0025","0.0025","0.0025"
"348000","0","0","0"
"350000","0","0","0"
"352000","0","0","0"
"354000","0","0","0"
"356000","0","0","0"
"358000","0","0","0"
"360000","0","0","0"
"362000","0","0","0"
"364000","0","0","0"
"366000","0","0","0"
"368000","0","0","0"
"370000","0","0","0"
"372000","0","0","0"
"374000","0","0","0"
"376000","0","0","0"
"378000","0","0","0"
"380000","0","0","0"
"382000","0","0","0"
"384000","0","0","0"
"386000","0","0","0"
"388000","0","0","0"
"390000","0","0","0"
"392000","0","0","0"
"394000","0","0","0"
"396000","0","0","0"
"398000","0","0","0"
"400000","0","0","0"
"402000","0","0","0"
"404000","0","0","0"
"406000","0","0","0"
"408000","0.0025","0.0025","0.0025"
"410000","0","0","0"
"412000","0","0","0"
"414000","0","0","0"
"416000","0","0","0"
"418000","0.0025","0.0025","0.0025"
"420000","0.0025","0.0025","0.0025"
"422000","0","0","0"
"424000","0","0","0"
"426000","0","0","0"
"428000","0","0","0"
"430000","0","0","0"
"432000","0","0","0"
"434000","0","0","0"
"436000","0","0","0"
"438000","0","0","0"
"440000","0","0","0"
"442000","0","0","0"
"444000","0","0","0"
"446000","0","0","0"
"448000","0","0","0"
"450000","0","0","0"
"452000","0","0","0"
"454000","0","0","0"
"456000","0.0025","0.0025","0.0025"
"458000","0","0","0"
"460000","0","0","0"
"462000","0","0","0"
"464000","0","0","0"
"466000","0","0","0"
"468000","0","0","0"
"470000","0","0","0"
"472000","0","0","0"
"474000","0","0","0"
"476000","0","0","0"
"478000","0","0","0"
"480000","0","0","0"
"482000","0","0","0"
"484000","0","0","0"
"486000","0","0","0"
"488000","0","0","0"
"490000","0","0","0"
"492000","0","0","0"
"494000","0","0","0"
"496000","0","0","0"
"498000","0","0","0"
"500000","0","0","0"
"502000","0","0","0"
"504000","0","0","0"
"506000","0","0","0"
"508000","0","0","0"
"510000","0","0","0"
"512000","0","0","0"
"514000","0","0","0"
"516000","0","0","0"
"518000","0","0","0"
"520000","0","0","0"
"522000","0","0","0"
"524000","0","0","0"
"526000","0","0","0"
"528000","0","0","0"
"530000","0.005","0.005","0.005"
"532000","0","0","0"
"534000","0","0","0"
"536000","0","0","0"
"538000","0","0","0"
"540000","0","0","0"
"542000","0","0","0"
"544000","0","0","0"
"546000","0","0","0"
"548000","0","0","0"
"550000","0","0","0"
"552000","0","0","0"
"554000","0","0","0"
"556000","0","0","0"