"Step","lucky-salad-45 - eval/mean_reward","lucky-salad-45 - eval/mean_reward__MIN","lucky-salad-45 - eval/mean_reward__MAX"
"10000","-101.70627928668758","-101.70627928668758","-101.70627928668758"
"20000","-104.99703069072534","-104.99703069072534","-104.99703069072534"
"30000","-91.94244701783037","-91.94244701783037","-91.94244701783037"
"40000","-100.4626984312478","-100.4626984312478","-100.4626984312478"
"50000","-94.86344184501176","-94.86344184501176","-94.86344184501176"
"60000","-91.07556854409692","-91.07556854409692","-91.07556854409692"
"70000","-98.60653951876535","-98.60653951876535","-98.60653951876535"
"80000","-89.95665702341844","-89.95665702341844","-89.95665702341844"
"90000","-102.12054851257136","-102.12054851257136","-102.12054851257136"
"100000","-91.92843918806739","-91.92843918806739","-91.92843918806739"
"110000","-93.97954101445423","-93.97954101445423","-93.97954101445423"
"120000","-90.08161521187535","-90.08161521187535","-90.08161521187535"
"130000","-93.26399118823005","-93.26399118823005","-93.26399118823005"
"140000","-101.99859471222399","-101.99859471222399","-101.99859471222399"
"150000","-80.66161601998753","-80.66161601998753","-80.66161601998753"
"160000","-87.90964629471296","-87.90964629471296","-87.90964629471296"
"170000","-78.30815613721417","-78.30815613721417","-78.30815613721417"
"180000","-95.93343391319517","-95.93343391319517","-95.93343391319517"
"190000","-80.4560760546036","-80.4560760546036","-80.4560760546036"
"200000","-62.90181266686526","-62.90181266686526","-62.90181266686526"