"Step","whole-plant-43 - eval/best_mean_reward","whole-plant-43 - eval/best_mean_reward__MIN","whole-plant-43 - eval/best_mean_reward__MAX"
"2500","-Infinity","",""
"5000","-Infinity","",""
"7500","-Infinity","",""
"10000","-125.54417140000001","-125.54417140000001","-125.54417140000001"
"12500","-125.54417140000001","-125.54417140000001","-125.54417140000001"
"15000","-125.54417140000001","-125.54417140000001","-125.54417140000001"
"17500","-125.54417140000001","-125.54417140000001","-125.54417140000001"
"20000","-98.8678138","-98.8678138","-98.8678138"
"22500","-98.8678138","-98.8678138","-98.8678138"
"25000","-98.8678138","-98.8678138","-98.8678138"
"27500","-98.8678138","-98.8678138","-98.8678138"
"30000","-97.923604","-97.923604","-97.923604"
"32500","-97.923604","-97.923604","-97.923604"
"35000","-97.923604","-97.923604","-97.923604"
"37500","-97.923604","-97.923604","-97.923604"
"40000","-85.93445340000001","-85.93445340000001","-85.93445340000001"
"42500","-85.93445340000001","-85.93445340000001","-85.93445340000001"
"45000","-85.93445340000001","-85.93445340000001","-85.93445340000001"
"47500","-85.93445340000001","-85.93445340000001","-85.93445340000001"
"50000","-73.4917523","-73.4917523","-73.4917523"
"52500","-73.4917523","-73.4917523","-73.4917523"
"55000","-73.4917523","-73.4917523","-73.4917523"
"57500","-73.4917523","-73.4917523","-73.4917523"
"60000","-73.4917523","-73.4917523","-73.4917523"
"62500","-73.4917523","-73.4917523","-73.4917523"
"65000","-73.4917523","-73.4917523","-73.4917523"
"67500","-73.4917523","-73.4917523","-73.4917523"
"70000","-73.4917523","-73.4917523","-73.4917523"
"72500","-73.4917523","-73.4917523","-73.4917523"
"75000","-73.4917523","-73.4917523","-73.4917523"
"77500","-73.4917523","-73.4917523","-73.4917523"
"80000","-73.4917523","-73.4917523","-73.4917523"
"82500","-73.4917523","-73.4917523","-73.4917523"
"85000","-73.4917523","-73.4917523","-73.4917523"
"87500","-73.4917523","-73.4917523","-73.4917523"
"90000","-73.4917523","-73.4917523","-73.4917523"
"92500","-73.4917523","-73.4917523","-73.4917523"
"95000","-73.4917523","-73.4917523","-73.4917523"
"97500","-73.4917523","-73.4917523","-73.4917523"
"100000","-73.4917523","-73.4917523","-73.4917523"
"102500","-73.4917523","-73.4917523","-73.4917523"
"105000","-73.4917523","-73.4917523","-73.4917523"
"107500","-73.4917523","-73.4917523","-73.4917523"
"110000","-73.4917523","-73.4917523","-73.4917523"
"112500","-73.4917523","-73.4917523","-73.4917523"
"115000","-73.4917523","-73.4917523","-73.4917523"
"117500","-73.4917523","-73.4917523","-73.4917523"
"120000","-73.4917523","-73.4917523","-73.4917523"
"122500","-73.4917523","-73.4917523","-73.4917523"
"125000","-73.4917523","-73.4917523","-73.4917523"
"127500","-73.4917523","-73.4917523","-73.4917523"
"130000","-73.4917523","-73.4917523","-73.4917523"
"132500","-73.4917523","-73.4917523","-73.4917523"
"135000","-73.4917523","-73.4917523","-73.4917523"
"137500","-73.4917523","-73.4917523","-73.4917523"
"140000","-73.4917523","-73.4917523","-73.4917523"
"142500","-73.4917523","-73.4917523","-73.4917523"
"145000","-73.4917523","-73.4917523","-73.4917523"
"147500","-73.4917523","-73.4917523","-73.4917523"
"150000","-73.4917523","-73.4917523","-73.4917523"
"152500","-73.4917523","-73.4917523","-73.4917523"
"155000","-73.4917523","-73.4917523","-73.4917523"
"157500","-73.4917523","-73.4917523","-73.4917523"
"160000","-73.4917523","-73.4917523","-73.4917523"
"162500","-73.4917523","-73.4917523","-73.4917523"
"165000","-73.4917523","-73.4917523","-73.4917523"
"167500","-73.4917523","-73.4917523","-73.4917523"
"170000","-73.4917523","-73.4917523","-73.4917523"
"172500","-73.4917523","-73.4917523","-73.4917523"
"175000","-73.4917523","-73.4917523","-73.4917523"
"177500","-73.4917523","-73.4917523","-73.4917523"
"180000","-73.4917523","-73.4917523","-73.4917523"
"182500","-73.4917523","-73.4917523","-73.4917523"
"185000","-73.4917523","-73.4917523","-73.4917523"
"187500","-73.4917523","-73.4917523","-73.4917523"
"190000","-73.4917523","-73.4917523","-73.4917523"
"192500","-73.4917523","-73.4917523","-73.4917523"
"195000","-73.4917523","-73.4917523","-73.4917523"
"197500","-73.4917523","-73.4917523","-73.4917523"
"200000","-73.4917523","-73.4917523","-73.4917523"
"202500","-73.4917523","-73.4917523","-73.4917523"
"205000","-73.4917523","-73.4917523","-73.4917523"
"207500","-73.4917523","-73.4917523","-73.4917523"
"210000","-73.4917523","-73.4917523","-73.4917523"
"212500","-73.4917523","-73.4917523","-73.4917523"
"215000","-73.4917523","-73.4917523","-73.4917523"
"217500","-73.4917523","-73.4917523","-73.4917523"
"220000","-73.4917523","-73.4917523","-73.4917523"
"222500","-73.4917523","-73.4917523","-73.4917523"
"225000","-73.4917523","-73.4917523","-73.4917523"
"227500","-73.4917523","-73.4917523","-73.4917523"
"230000","-73.4917523","-73.4917523","-73.4917523"
"232500","-73.4917523","-73.4917523","-73.4917523"
"235000","-73.4917523","-73.4917523","-73.4917523"
"237500","-73.4917523","-73.4917523","-73.4917523"
"240000","-73.4917523","-73.4917523","-73.4917523"
"242500","-73.4917523","-73.4917523","-73.4917523"
"245000","-73.4917523","-73.4917523","-73.4917523"
"247500","-73.4917523","-73.4917523","-73.4917523"
"250000","-73.4917523","-73.4917523","-73.4917523"
"252500","-73.4917523","-73.4917523","-73.4917523"
"255000","-73.4917523","-73.4917523","-73.4917523"
"257500","-73.4917523","-73.4917523","-73.4917523"
"260000","-73.4917523","-73.4917523","-73.4917523"
"262500","-73.4917523","-73.4917523","-73.4917523"
"265000","-73.4917523","-73.4917523","-73.4917523"
"267500","-73.4917523","-73.4917523","-73.4917523"
"270000","-73.4917523","-73.4917523","-73.4917523"
"272500","-73.4917523","-73.4917523","-73.4917523"
"275000","-73.4917523","-73.4917523","-73.4917523"
"277500","-73.4917523","-73.4917523","-73.4917523"
"280000","-73.4917523","-73.4917523","-73.4917523"
"282500","-73.4917523","-73.4917523","-73.4917523"
"285000","-73.4917523","-73.4917523","-73.4917523"
"287500","-73.4917523","-73.4917523","-73.4917523"
"290000","-72.2822826","-72.2822826","-72.2822826"
"292500","-72.2822826","-72.2822826","-72.2822826"
"295000","-72.2822826","-72.2822826","-72.2822826"
"297500","-72.2822826","-72.2822826","-72.2822826"
"300000","-70.43601620000001","-70.43601620000001","-70.43601620000001"
"302500","-70.43601620000001","-70.43601620000001","-70.43601620000001"