"Step","copper-bush-14 - rollout/total_successes","copper-bush-14 - rollout/total_successes__MIN","copper-bush-14 - rollout/total_successes__MAX"
"811000","0","0","0"
"812000","1","1","1"
"813000","1","1","1"
"814000","1","1","1"
"815000","1","1","1"
"816000","1","1","1"
"817000","1","1","1"
"818000","2","2","2"
"819000","2","2","2"
"820000","2","2","2"
"821000","2","2","2"
"822000","2","2","2"
"823000","3","3","3"
"824000","3","3","3"
"825000","4","4","4"
"826000","4","4","4"
"827000","4","4","4"
"828000","4","4","4"
"829000","4","4","4"
"830000","4","4","4"
"831000","5","5","5"
"832000","5","5","5"
"833000","5","5","5"
"834000","5","5","5"
"835000","5","5","5"
"836000","5","5","5"
"837000","5","5","5"
"838000","6","6","6"
"839000","6","6","6"
"840000","6","6","6"
"841000","6","6","6"
"842000","6","6","6"
"843000","6","6","6"
"844000","6","6","6"
"845000","6","6","6"
"846000","6","6","6"
"847000","6","6","6"
"848000","6","6","6"
"849000","6","6","6"
"850000","6","6","6"
"851000","6","6","6"
"852000","6","6","6"
"853000","6","6","6"
"854000","6","6","6"
"855000","6","6","6"
"856000","6","6","6"
"857000","6","6","6"
"858000","6","6","6"
"859000","6","6","6"
"860000","6","6","6"
"861000","6","6","6"
"862000","6","6","6"
"863000","6","6","6"
"864000","6","6","6"
"865000","6","6","6"
"866000","6","6","6"
"867000","6","6","6"
"868000","6","6","6"
"869000","7","7","7"
"870000","7","7","7"
"871000","7","7","7"
"872000","7","7","7"
"873000","7","7","7"
"874000","7","7","7"
"875000","8","8","8"
"876000","8","8","8"
"877000","8","8","8"
"878000","8","8","8"
"879000","8","8","8"
"880000","8","8","8"
"881000","8","8","8"
"882000","8","8","8"
"883000","8","8","8"
"884000","8","8","8"
"885000","8","8","8"
"886000","8","8","8"
"887000","8","8","8"
"888000","8","8","8"
"889000","8","8","8"
"890000","9","9","9"
"891000","9","9","9"
"892000","9","9","9"
"893000","9","9","9"
"894000","9","9","9"
"895000","9","9","9"
"896000","10","10","10"
"897000","11","11","11"
"898000","11","11","11"
"899000","11","11","11"
"900000","11","11","11"
"901000","11","11","11"
"902000","11","11","11"
"903000","11","11","11"
"904000","11","11","11"
"905000","11","11","11"
"906000","11","11","11"
"907000","11","11","11"
"908000","11","11","11"
"909000","11","11","11"
"910000","11","11","11"
"911000","11","11","11"
"912000","11","11","11"
"913000","11","11","11"
"914000","11","11","11"
"915000","11","11","11"
"916000","12","12","12"
"917000","12","12","12"
"918000","12","12","12"
"919000","12","12","12"
"920000","12","12","12"
"921000","12","12","12"
"922000","12","12","12"
"923000","12","12","12"
"924000","12","12","12"
"925000","12","12","12"
"926000","12","12","12"
"927000","12","12","12"
"928000","12","12","12"
"929000","12","12","12"
"930000","12","12","12"
"931000","12","12","12"
"932000","12","12","12"
"933000","12","12","12"
"934000","12","12","12"
"935000","12","12","12"
"936000","13","13","13"
"937000","13","13","13"
"938000","13","13","13"
"939000","13","13","13"
"940000","13","13","13"
"941000","13","13","13"
"942000","13","13","13"
"943000","13","13","13"
"944000","13","13","13"
"945000","13","13","13"
"946000","13","13","13"
"947000","13","13","13"
"948000","13","13","13"
"949000","13","13","13"
"950000","13","13","13"
"951000","13","13","13"
"952000","13","13","13"
"953000","13","13","13"
"954000","13","13","13"
"955000","13","13","13"
"956000","13","13","13"
"957000","13","13","13"
"958000","13","13","13"
"959000","13","13","13"
"960000","13","13","13"
"961000","13","13","13"
"962000","13","13","13"
"963000","13","13","13"
"964000","13","13","13"
"965000","13","13","13"
"966000","13","13","13"
"967000","13","13","13"
"968000","13","13","13"
"969000","13","13","13"
"970000","13","13","13"
"971000","13","13","13"
"972000","13","13","13"
"973000","13","13","13"
"974000","13","13","13"
"975000","13","13","13"
"976000","13","13","13"
"977000","13","13","13"
"978000","13","13","13"
"979000","13","13","13"
"980000","13","13","13"
"981000","13","13","13"
"982000","13","13","13"
"983000","13","13","13"
"984000","13","13","13"
"985000","13","13","13"
"986000","13","13","13"
"987000","13","13","13"
"988000","13","13","13"
"989000","13","13","13"
"990000","13","13","13"
"991000","13","13","13"
"992000","13","13","13"
"993000","13","13","13"
"994000","13","13","13"
"995000","13","13","13"
"996000","13","13","13"
"997000","13","13","13"
"998000","13","13","13"
"999000","13","13","13"
"1000000","13","13","13"
"1001000","13","13","13"
"1002000","13","13","13"
"1003000","13","13","13"
"1004000","13","13","13"
"1005000","13","13","13"
"1006000","13","13","13"
"1007000","13","13","13"
"1008000","13","13","13"
"1009000","13","13","13"
"1010000","13","13","13"
"1011000","13","13","13"
"1012000","13","13","13"
"1013000","13","13","13"
"1014000","13","13","13"
"1015000","13","13","13"
"1016000","13","13","13"
"1017000","13","13","13"
"1018000","13","13","13"
"1019000","13","13","13"
"1020000","13","13","13"
"1021000","13","13","13"
"1022000","13","13","13"
"1023000","13","13","13"
"1024000","13","13","13"
"1025000","13","13","13"
"1026000","13","13","13"
"1027000","13","13","13"
"1028000","13","13","13"
"1029000","13","13","13"
"1030000","13","13","13"
"1031000","13","13","13"
"1032000","13","13","13"
"1033000","13","13","13"
"1034000","13","13","13"
"1035000","13","13","13"
"1036000","13","13","13"
"1037000","13","13","13"
"1038000","13","13","13"
"1039000","13","13","13"
"1040000","13","13","13"
"1041000","13","13","13"
"1042000","13","13","13"
"1043000","13","13","13"
"1044000","13","13","13"
"1045000","13","13","13"
"1046000","13","13","13"
"1047000","13","13","13"
"1048000","13","13","13"
"1049000","13","13","13"
"1050000","13","13","13"
"1051000","13","13","13"
"1052000","14","14","14"
"1053000","14","14","14"
"1054000","14","14","14"
"1055000","14","14","14"
"1056000","14","14","14"
"1057000","14","14","14"
"1058000","14","14","14"
"1059000","16","16","16"
"1060000","16","16","16"
"1061000","16","16","16"
"1062000","16","16","16"
"1063000","16","16","16"
"1064000","17","17","17"
"1065000","17","17","17"
"1066000","17","17","17"
"1067000","17","17","17"
"1068000","17","17","17"
"1069000","17","17","17"
"1070000","17","17","17"
"1071000","17","17","17"
"1072000","17","17","17"
"1073000","17","17","17"
"1074000","17","17","17"
"1075000","17","17","17"
"1076000","17","17","17"
"1077000","17","17","17"
"1078000","17","17","17"
"1079000","17","17","17"
"1080000","17","17","17"
"1081000","17","17","17"
"1082000","17","17","17"
"1083000","17","17","17"
"1084000","17","17","17"
"1085000","17","17","17"
"1086000","17","17","17"
"1087000","17","17","17"
"1088000","17","17","17"
"1089000","19","19","19"
"1090000","19","19","19"
"1091000","19","19","19"
"1092000","19","19","19"
"1093000","19","19","19"
"1094000","19","19","19"
"1095000","19","19","19"
"1096000","19","19","19"
"1097000","19","19","19"
"1098000","19","19","19"
"1099000","19","19","19"
"1100000","19","19","19"
"1101000","19","19","19"
"1102000","19","19","19"
"1103000","19","19","19"
"1104000","19","19","19"
"1105000","19","19","19"
"1106000","19","19","19"
"1107000","19","19","19"
"1108000","19","19","19"
"1109000","19","19","19"
"1110000","19","19","19"
"1111000","19","19","19"
"1112000","19","19","19"
"1113000","19","19","19"
"1114000","19","19","19"
"1115000","19","19","19"
"1116000","19","19","19"
"1117000","19","19","19"
"1118000","19","19","19"
"1119000","19","19","19"
"1120000","20","20","20"
"1121000","20","20","20"
"1122000","20","20","20"
"1123000","20","20","20"
"1124000","20","20","20"
"1125000","20","20","20"
"1126000","20","20","20"
"1127000","20","20","20"
"1128000","20","20","20"
"1129000","20","20","20"
"1130000","20","20","20"
"1131000","21","21","21"
"1132000","22","22","22"
"1133000","22","22","22"
"1134000","22","22","22"
"1135000","22","22","22"
"1136000","22","22","22"
"1137000","22","22","22"
"1138000","22","22","22"
"1139000","22","22","22"
"1140000","22","22","22"
"1141000","22","22","22"
"1142000","22","22","22"
"1143000","22","22","22"
"1144000","22","22","22"
"1145000","22","22","22"
"1146000","22","22","22"
"1147000","22","22","22"
"1148000","22","22","22"
"1149000","22","22","22"
"1150000","23","23","23"
"1151000","23","23","23"
"1152000","23","23","23"
"1153000","23","23","23"
"1154000","23","23","23"
"1155000","24","24","24"
"1156000","24","24","24"
"1157000","24","24","24"
"1158000","24","24","24"
"1159000","24","24","24"
"1160000","24","24","24"
"1161000","24","24","24"
"1162000","24","24","24"
"1163000","24","24","24"
"1164000","24","24","24"
"1165000","24","24","24"
"1166000","24","24","24"
"1167000","24","24","24"
"1168000","24","24","24"
"1169000","24","24","24"
"1170000","24","24","24"
"1171000","24","24","24"
"1172000","24","24","24"
"1173000","24","24","24"
"1174000","25","25","25"
"1175000","25","25","25"
"1176000","25","25","25"
"1177000","25","25","25"
"1178000","25","25","25"
"1179000","25","25","25"
"1180000","25","25","25"
"1181000","25","25","25"
"1182000","25","25","25"
"1183000","25","25","25"
"1184000","25","25","25"
"1185000","25","25","25"
"1186000","25","25","25"
"1187000","25","25","25"
"1188000","25","25","25"
"1189000","25","25","25"
"1190000","25","25","25"
"1191000","25","25","25"
"1192000","25","25","25"
"1193000","25","25","25"
"1194000","25","25","25"
"1195000","25","25","25"
"1196000","25","25","25"
"1197000","25","25","25"
"1198000","25","25","25"
"1199000","25","25","25"
"1200000","25","25","25"
"1201000","25","25","25"
"1202000","25","25","25"
"1203000","25","25","25"
"1204000","25","25","25"
"1205000","25","25","25"
"1206000","26","26","26"
"1207000","26","26","26"
"1208000","27","27","27"
"1209000","27","27","27"
"1210000","28","28","28"
"1211000","28","28","28"
"1212000","28","28","28"
"1213000","28","28","28"
"1214000","28","28","28"
"1215000","28","28","28"
"1216000","28","28","28"
"1217000","28","28","28"
"1218000","28","28","28"
"1219000","28","28","28"
"1220000","28","28","28"